Año;Mes;Glosa;Índice;Variación Mensual (%)
2015;6;IPC General menos alimentos y energía;72,61;0,4
2015;6;No Transables;70,9;0,5
2015;6;Servicios;69,89;0,7
2015;6;Transables;67,36;0,5
2015;7;Alimentos;59,9;0,9
2015;7;Bienes;68,94;0,5
2015;7;Energía;65,35;1,9
2015;7;Frutas y verduras frescas;54,99;0,1
2015;7;IPC General menos alimentos y energía;72,68;0,1
2015;7;No Transables;71,11;0,3
2015;7;Servicios;70,1;0,3
2015;7;Transables;67,7;0,5
2015;8;Alimentos;60,8;1,5
2015;8;Bienes;69,7;1,1
2015;8;Energía;66,13;1,2
2015;8;Frutas y verduras frescas;58,4;6,2
2015;8;IPC General menos alimentos y energía;72,97;0,4
2015;8;No Transables;71,25;0,2
2015;8;Servicios;70,24;0,2
2015;8;Transables;68,44;1,1
2015;9;Alimentos;61,47;1,1
2015;9;Bienes;70,12;0,6
2015;9;Energía;65,73;-0,6
2015;9;Frutas y verduras frescas;61,85;5,9
2015;9;IPC General menos alimentos y energía;73,33;0,5
2015;9;No Transables;71,54;0,4
2015;9;Servicios;70,52;0,4
2015;9;Transables;68,85;0,6
2015;10;Alimentos;61,96;0,8
2015;10;Bienes;70,47;0,5
2015;10;Energía;65,2;-0,8
2015;10;Frutas y verduras frescas;62,72;1,4
2015;10;IPC General menos alimentos y energía;73,62;0,4
2015;10;No Transables;71,75;0,3
2015;10;Servicios;70,73;0,3
2015;10;Transables;69,19;0,5
2015;11;Alimentos;61,77;-0,3
2015;11;Bienes;70,26;-0,3
2015;11;Energía;64,42;-1,2
2015;11;Frutas y verduras frescas;63,1;0,6
2015;11;IPC General menos alimentos y energía;73,77;0,2
2015;11;No Transables;71,97;0,3
2015;11;Servicios;70,94;0,3
2015;11;Transables;68,98;-0,3
2015;12;Alimentos;61,4;-0,6
2015;12;Bienes;69,98;-0,4
2015;12;Energía;63,78;-1
2015;12;Frutas y verduras frescas;61,27;-2,9
2015;12;IPC General menos alimentos y energía;73,99;0,3
2015;12;No Transables;72,26;0,4
2015;12;Servicios;71,29;0,5
2015;12;Transables;68,77;-0,3
2016;1;Alimentos;61,22;-0,3
2016;1;Bienes;69,98;0
2016;1;Energía;63,08;-1,1
2016;1;Frutas y verduras frescas;60,41;-1,4
2016;1;IPC General menos alimentos y energía;74,66;0,9
2016;1;No Transables;72,91;0,9
2016;1;Servicios;72;1
2016;1;Transables;68,84;0,1
2016;2;Alimentos;60,91;-0,5
2016;2;Bienes;69,98;0
2016;2;Energía;63,71;1
2016;2;Frutas y verduras frescas;57,33;-5,1
2016;2;IPC General menos alimentos y energía;74,96;0,4
2016;2;No Transables;73,13;0,3
2016;2;Servicios;72,43;0,6
2016;2;Transables;69,05;0,3
2016;3;Alimentos;61,03;0,2
2016;3;Bienes;70,05;0,1
2016;3;Energía;63,46;-0,4
2016;3;Frutas y verduras frescas;58,59;2,2
2016;3;IPC General menos alimentos y energía;75,33;0,5
2016;3;No Transables;73,71;0,8
2016;3;Servicios;72,94;0,7
2016;3;Transables;69,12;0,1
2016;4;Alimentos;61,09;0,1
2016;4;Bienes;70,4;0,5
2016;4;Energía;64,41;1,5
2016;4;Frutas y verduras frescas;57,07;-2,6
2016;4;IPC General menos alimentos y energía;75,56;0,3
2016;4;No Transables;73,86;0,2
2016;4;Servicios;73,09;0,2
2016;4;Transables;69,47;0,5
2016;5;Alimentos;61,7;1
2016;5;Bienes;70,68;0,4
2016;5;Energía;65,25;1,3
2016;5;Frutas y verduras frescas;60,72;6,4
2016;5;IPC General menos alimentos y energía;75,48;-0,1
2016;5;No Transables;73,86;0
2016;5;Servicios;73,09;0
2016;5;Transables;69,75;0,4
2016;6;Alimentos;62,07;0,6
2016;6;Bienes;71,03;0,5
2016;6;Energía;66,03;1,2
2016;6;Frutas y verduras frescas;62,85;3,5
2016;6;IPC General menos alimentos y energía;75,71;0,3
2016;6;No Transables;74,16;0,4
2016;6;Servicios;73,38;0,4
2016;6;Transables;70,1;0,5
2016;7;Alimentos;62,69;1
2016;7;Bienes;71,31;0,4
2016;7;Energía;65,7;-0,5
2016;7;Frutas y verduras frescas;61,84;-1,6
2016;7;IPC General menos alimentos y energía;75,79;0,1
2016;7;No Transables;74,23;0,1
2016;7;Servicios;73,45;0,1
2016;7;Transables;70,31;0,3
2016;8;Alimentos;63,19;0,8
2016;8;Bienes;71,45;0,2
2016;8;Energía;64,19;-2,3
2016;8;Frutas y verduras frescas;63,08;2
2016;8;IPC General menos alimentos y energía;75,87;0,1
2016;8;No Transables;74,23;0
2016;8;Servicios;73,38;-0,1
2016;8;Transables;70,38;0,1
2016;9;Alimentos;63,82;1
2016;9;Bienes;71,74;0,4
2016;9;Energía;64,38;0,3
2016;9;Frutas y verduras frescas;67,75;7,4
2016;9;IPC General menos alimentos y energía;75,87;0
2016;9;No Transables;74,38;0,2
2016;9;Servicios;73,45;0,1
2016;9;Transables;70,59;0,3
2016;10;Alimentos;63,56;-0,4
2016;10;Bienes;71,81;0,1
2016;10;Energía;65,28;1,4
2016;10;Frutas y verduras frescas;67,14;-0,9
2016;10;IPC General menos alimentos y energía;76,02;0,2
2016;10;No Transables;74,6;0,3
2016;10;Servicios;73,67;0,3
2016;10;Transables;70,66;0,1
2016;11;Alimentos;63,56;0
2016;11;Bienes;71,81;0
2016;11;Energía;65,61;0,5
2016;11;Frutas y verduras frescas;64,19;-4,4
2016;11;IPC General menos alimentos y energía;76,02;0
2016;11;No Transables;74,67;0,1
2016;11;Servicios;73,82;0,2
2016;11;Transables;70,66;0
2016;12;Alimentos;62,67;-1,4
2016;12;Bienes;71,24;-0,8
2016;12;Energía;65,61;0
2016;12;Frutas y verduras frescas;60,85;-5,2
2016;12;IPC General menos alimentos y energía;76,1;0,1
2016;12;No Transables;75,04;0,5
2016;12;Servicios;74,12;0,4
2016;12;Transables;70,09;-0,8
2017;1;Alimentos;62,61;-0,1
2017;1;Bienes;71,67;0,6
2017;1;Energía;67,05;2,2
2017;1;Frutas y verduras frescas;59,82;-1,7
2017;1;IPC General menos alimentos y energía;76,48;0,5
2017;1;No Transables;75,34;0,4
2017;1;Servicios;74,42;0,4
2017;1;Transables;70,58;0,7
2017;2;Alimentos;62,92;0,5
2017;2;Bienes;71,96;0,4
2017;2;Energía;67,18;0,2
2017;2;Frutas y verduras frescas;60;0,3
2017;2;IPC General menos alimentos y energía;76,63;0,2
2017;2;No Transables;75,57;0,3
2017;2;Servicios;74,49;0,1
2017;2;Transables;70,72;0,2
2017;3;Alimentos;63,23;0,5
2017;3;Bienes;71,96;0
